country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
NO,Norway,1990,1992,1990,3,2,7,87.30130769508304,71.3870970753246,,2.98401970498532,29.5301395858699,71.8768588741127,34.86293974262287,22.8350320926145,100.0,0.707,56.3584450984916,30.8346480214333,0.836440149854176,87.70213803857867,69.589804667081,5.407,2.91069211365331,28.4067450799722,72.1586354507439,33.74356143124841,21.7498832407064,100.0,1.41,57.4035517607555,29.9025297214104,-0.290201519589199,88.16142735951742,66.7110650319213,5.91,2.62774368983622,28.0212718594306,72.6495385440231,31.52230102191312,20.8774396040797,100.0,2.22,57.7056991020707,28.1165869094925,-0.510642625534553
NO,Norway,1992,1994,1990,3,2,7,88.16142735951742,66.7110650319213,5.91,2.62774368983622,28.0212718594306,72.6495385440231,31.52230102191312,20.8774396040797,100.0,2.22,57.7056991020707,28.1165869094925,-0.510642625534553,88.50731399389377,67.2506812594327,5.965,2.6094194418758,27.5959462287278,73.2031436754498,31.42942515171624,21.3010038566707,100.0,2.78,57.6552985091203,28.2922278557074,0.822301012103941,89.18997883002609,67.6345957946686,5.349,2.60364539332755,27.9003880781328,73.6500015258789,28.920880469500364,21.6248236261789,100.0,4.15,56.7008677703451,28.872366652475,2.15241526012205
NO,Norway,1994,1996,1990,3,2,7,89.18997883002609,67.6345957946686,5.349,2.60364539332755,27.9003880781328,73.6500015258789,28.920880469500364,21.6248236261789,100.0,4.15,56.7008677703451,28.872366652475,2.15241526012205,89.74592059951712,67.2992862912687,6.307,2.58955622143452,28.7930701519408,73.9197422341132,31.82308120412587,21.4390876489143,100.0,6.42,55.3356839829806,30.1438630808877,1.57388218232366,90.4342910083638,70.2016361484898,5.036,2.22713791586389,30.9687751262952,74.1999969482422,28.544329655671103,21.8224244125188,100.0,18.3,53.5636671875237,31.5641260979717,2.34068795022881
NO,Norway,1996,1998,1990,3,2,7,90.4342910083638,70.2016361484898,5.036,2.22713791586389,30.9687751262952,74.1999969482422,28.544329655671103,21.8224244125188,100.0,18.3,53.5636671875237,31.5641260979717,2.34068795022881,91.15533235402064,72.1536965321464,4.687,2.06178702227207,31.473005414688,74.7024361307612,32.05711758553594,23.5510014544308,100.0,20.4,53.215956682496,33.1173007167014,2.79790754603139,91.47431121040458,71.6226841846104,3.737,2.26324523087473,27.6314941440238,75.3306335451989,31.34481833228478,26.5037815281309,100.0,22.6,56.5366169308996,30.1385342915553,3.66067530056801
NO,Norway,1998,2000,1990,3,2,7,91.47431121040458,71.6226841846104,3.737,2.26324523087473,27.6314941440238,75.3306335451989,31.34481833228478,26.5037815281309,100.0,22.6,56.5366169308996,30.1385342915553,3.66067530056801,91.68809901826998,69.5067285818851,3.247,2.05059287164331,29.6082870166756,75.8399963378906,31.609641170980257,23.4519287180123,100.0,40.0,55.126205818883,31.845462520421,3.58540501893468,92.09748809859472,74.3125187193698,3.458,1.78413816684028,36.7998293058526,76.1338922449534,33.10459996823012,19.7994608821495,100.0,52.0,49.6311787173024,38.7312706907017,4.85955800743045
NO,Norway,2000,2002,2000,5,-1,9,92.09748809859472,74.3125187193698,3.458,1.78413816684028,36.7998293058526,76.1338922449534,33.10459996823012,19.7994608821495,100.0,52.0,49.6311787173024,38.7312706907017,4.85955800743045,92.33848942266675,73.1583039085777,3.738,1.54476775506348,35.5696147591,76.3958619273785,32.94947460787116,19.4990387487649,100.0,64.0,51.2436905919929,37.3621632110132,1.83093887486593,92.46820129108217,67.5170140875686,4.022,1.47384034088911,33.6163207375275,76.7955442460288,28.62640475513168,19.3890591984758,100.0,72.84,53.1748015689083,33.7509629861682,1.53727647022863
NO,Norway,2002,2004,2000,5,-1,9,92.46820129108217,67.5170140875686,4.022,1.47384034088911,33.6163207375275,76.7955442460288,28.62640475513168,19.3890591984758,100.0,72.84,53.1748015689083,33.7509629861682,1.53727647022863,92.52359065890651,66.3207509412935,4.221,1.25651516690834,33.8137855236301,77.2600021362305,31.884070995265063,18.8415702283426,100.0,78.13,53.574329087892,32.4521656676487,1.82199004812861,93.04708751565374,68.671953774992,4.256,1.33559044875548,35.4260864604952,77.5684593888498,25.13490755711776,19.5897597648484,100.0,77.69,52.0771222113915,35.0578791280018,1.85415606218434
NO,Norway,2004,2006,2000,5,-1,9,93.04708751565374,68.671953774992,4.256,1.33559044875548,35.4260864604952,77.5684593888498,25.13490755711776,19.5897597648484,100.0,77.69,52.0771222113915,35.0578791280018,1.85415606218434,93.355165840879,70.4694504909023,4.381,1.35951412016903,38.3804105782717,77.8260148882032,29.413057272962963,20.2992232993179,100.0,81.99,49.5249211707144,38.83693692205,3.24498545607206,93.60966722357816,71.6599299465003,3.397,1.36556231799507,40.0562998933421,78.0877227783203,31.52523301229088,20.8689402666492,100.0,82.55,47.8463695198508,41.3441048941714,3.42386990722308
NO,Norway,2006,2008,2000,5,-1,9,93.60966722357816,71.6599299465003,3.397,1.36556231799507,40.0562998933421,78.0877227783203,31.52523301229088,20.8689402666492,100.0,82.55,47.8463695198508,41.3441048941714,3.42386990722308,93.89724825511657,71.9420263082298,2.493,1.20029285976373,37.619260274878,78.4072502632828,26.39539370081048,23.4914035999041,100.0,86.93,49.9670786984349,41.0479481597543,6.16081120360736,93.77744135722024,74.7852799340995,2.521,1.08255295779966,40.8115905550248,78.7541006020666,34.27388292989313,22.4854555543479,100.0,90.57,48.1731871166054,43.4339955799377,4.42620837691604
NO,Norway,2008,2010,2000,5,-1,9,93.77744135722024,74.7852799340995,2.521,1.08255295779966,40.8115905550248,78.7541006020666,34.27388292989313,22.4854555543479,100.0,90.57,48.1731871166054,43.4339955799377,4.42620837691604,93.27344392641884,67.4643154601855,3.1,1.2360885219239,34.8690747104576,79.0570820210427,31.213142686807966,23.153019700686,100.0,92.08,53.1931637832662,36.4515565771698,2.2258474686508,93.20119158550956,68.2395193584281,3.527,1.5247849522003,35.3094842115323,79.245002746582,31.73006290616463,20.6378334435552,100.0,93.39,52.2863522035994,37.0496720019683,5.01894398780264
