country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,Fertility_rate_total_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,Fertility_rate_total_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,Fertility_rate_total_t0,FDI_net_inflows_percent_of_GDP_t0
CH,Switzerland,1990,1992,1990,-2,4,9,70063.8517086247,82.5088186848906,,2.10985921602114,30.5152652504732,68.6623855629981,5.4039590921894,32.9511469617434,100.0,0.596,64.6852884718677,35.1272119802939,1.58,2.08636429216894,68559.9382296082,78.2239128940406,1.818,1.98040415079752,30.2410332412962,69.2414147163891,5.8595966346867,31.5794390223059,100.0,1.18,65.4421200507735,33.1223408395952,1.58,1.05569776077177,67778.5475359796,78.8826452809998,2.344,1.81097917614887,29.4829385663621,69.820059647118,4.03703020778739,28.339059702556,100.0,1.75,66.5373320609666,31.5463975684564,1.58,0.403144429102547
CH,Switzerland,1992,1994,1990,-2,4,9,67778.5475359796,78.8826452809998,2.344,1.81097917614887,29.4829385663621,69.820059647118,4.03703020778739,28.339059702556,100.0,1.75,66.5373320609666,31.5463975684564,1.58,0.403144429102547,67079.4643937643,77.6711336900876,3.551,1.65702190710011,29.0042064279266,70.4051871933076,3.29262180313611,26.5450951561779,100.0,2.17,67.0177955614923,31.5391520823555,1.51,0.627003188284216,67391.8444211439,76.1553638103637,3.58,1.52059970363763,29.8271664149753,70.9804424734025,0.8521169951207,26.7892254512325,100.0,2.72,66.2835312696057,32.2925274510646,1.49,1.22196548160131
CH,Switzerland,1994,1996,1990,-2,4,9,67391.8444211439,76.1553638103637,3.58,1.52059970363763,29.8271664149753,70.9804424734025,0.8521169951207,26.7892254512325,100.0,2.72,66.2835312696057,32.2925274510646,1.49,1.22196548160131,67264.9113311617,76.2521729078802,3.094,1.39877722256648,29.0802309136522,71.5294706058473,1.79982776867144,26.7268778369013,100.0,3.55,66.5447225695533,31.8509401066789,1.48,1.17852210155719,67284.1091695976,78.7524849566866,3.684,1.21980716280797,28.028401196023,72.0359167090865,0.811634064628211,25.6022750363399,100.0,4.55,67.850328240822,30.9113515533826,1.5,1.43491990572582
CH,Switzerland,1996,1998,1990,-2,4,9,67284.1091695976,78.7524849566866,3.684,1.21980716280797,28.028401196023,72.0359167090865,0.811634064628211,25.6022750363399,100.0,4.55,67.850328240822,30.9113515533826,1.5,1.43491990572582,68640.0745320635,88.4699784559434,4.127,1.24518953802149,27.286719172282,72.4834259015645,0.520225422736652,25.6786368717984,100.0,15.1,68.405362624511,30.6091748541773,1.48,2.84676290925378,70510.0256437591,88.2156167655547,3.568,1.17193472469708,26.6490052949271,72.8556433017258,0.0179384378439098,26.8201778482834,100.0,24.8,68.9333919172198,31.1868551865747,1.47,3.73873544652937
CH,Switzerland,1998,2000,1990,-2,4,9,70510.0256437591,88.2156167655547,3.568,1.17193472469708,26.6490052949271,72.8556433017258,0.0179384378439098,26.8201778482834,100.0,24.8,68.9333919172198,31.1868551865747,1.47,3.73873544652937,71341.3428665645,89.8170140994489,3.053,1.09235100023413,26.2813375718488,73.1362140280151,0.806444380959449,27.2540389775096,100.0,34.0,68.6021181771379,30.8252874314165,1.48,4.88171062927878,73749.9389517966,97.9368562124093,2.658,1.0538895108627,25.4681959795745,73.302430524727,1.5585291967901,27.5120429964422,100.0,47.1,69.0773683570005,32.1727804161563,1.5,8.26631602875868
CH,Switzerland,2000,2002,2000,-2,4,3,73749.9389517966,97.9368562124093,2.658,1.0538895108627,25.4681959795745,73.302430524727,1.5585291967901,27.5120429964422,100.0,47.1,69.0773683570005,32.1727804161563,1.5,8.26631602875868,74439.4637644735,96.0398378851633,2.49,0.920924113572322,26.2442578876909,73.3762992611964,0.989020329832546,26.8655927957923,100.0,55.1,68.7312208039503,32.0606920665225,1.38,3.40739822340101,73824.3849167809,91.7818508640225,2.924,0.933658141892988,26.4339765068788,73.4195324136588,0.642711506543278,27.0789344139005,100.0,61.4,68.8639747048645,31.5523718911766,1.39,2.6699038482556
CH,Switzerland,2002,2004,2000,-2,4,3,73824.3849167809,91.7818508640225,2.924,0.933658141892988,26.4339765068788,73.4195324136588,0.642711506543278,27.0789344139005,100.0,61.4,68.8639747048645,31.5523718911766,1.39,2.6699038482556,73254.9529864219,90.3354961093127,4.117,0.836991886074435,26.006421378464,73.4518762174754,0.638272930887201,26.5300649108016,100.0,65.1,69.4384719659583,31.0903589457548,1.39,5.44667518652086,74718.6836260364,95.5170944588529,4.316,0.934999580301804,25.5515101091518,73.4761317507392,0.802908730955227,27.3118645096356,100.0,67.8,69.7032556554531,31.6313404093228,1.42,1.7583727359017
CH,Switzerland,2004,2006,2000,-3,4,3,74718.6836260364,95.5170944588529,4.316,0.934999580301804,25.5515101091518,73.4761317507392,0.802908730955227,27.3118645096356,100.0,67.8,69.7032556554531,31.6313404093228,1.42,1.7583727359017,76282.9840696619,102.261172141836,4.437,0.818619332578622,25.8270742413749,73.4951000915434,1.17195420333703,27.2629980573135,100.0,70.1,69.6331213051923,32.6363949166275,1.42,0.637104289050499,78893.8078199046,106.245154784945,3.995,0.753298112550259,26.0027931872877,73.5115823179813,1.05950928324802,27.0602553682072,100.0,75.7,69.478997451051,34.8921497279918,1.44,12.1731323129404
CH,Switzerland,2006,2008,2000,-3,4,3,78893.8078199046,106.245154784945,3.995,0.753298112550259,26.0027931872877,73.5115823179813,1.05950928324802,27.0602553682072,100.0,75.7,69.478997451051,34.8921497279918,1.44,12.1731323129404,81254.1701015272,113.331857768509,3.641,0.773162582920631,25.9309450770322,73.5283795081459,0.732350603122248,27.2072576671874,100.0,77.2,69.5055766597955,36.5625857606274,1.46,9.92138923782947,82481.0680560935,116.778000147488,3.35,0.783533938641809,25.9463011401392,73.5482927401305,2.42604117060158,26.7342723602729,100.0,79.2,69.5719138580679,36.8926636157708,1.48,0.527253063961112
CH,Switzerland,2008,2010,2000,-3,4,3,82481.0680560935,116.778000147488,3.35,0.783533938641809,25.9463011401392,73.5482927401305,2.42604117060158,26.7342723602729,100.0,79.2,69.5719138580679,36.8926636157708,1.48,0.527253063961112,79585.5216989959,109.775984598968,4.109,0.722507576681507,24.7427872310642,73.5741230920283,-0.480481936423275,25.2148516664776,100.0,81.3,71.0151374038492,34.5853429723196,1.5,8.59932509165808,81315.4228307049,120.065123269341,4.808,0.662940574514361,24.6945258729978,73.6086716419323,0.688238707220026,25.1886290060014,100.0,83.9,71.039676798755,35.5056919434511,1.52,2.95077318898271
