country_code,country_name,snapshot_year,time_index,decade,bmu_x,bmu_y,cluster,GDP_per_capita_constant_2015_US_t-2,Trade_percent_of_GDP_t-2,Unemployment_total_percent_of_labor_force_t-2,Agriculture_value_added_percent_of_GDP_t-2,Industry_value_added_percent_of_GDP_t-2,Urban_population_percent_t-2,Inflation_consumer_prices_annual_percent_t-2,Gross_fixed_capital_formation_percent_of_GDP_t-2,Access_to_electricity_percent_of_population_t-2,Internet_users_percent_of_population_t-2,Services_value_added_percent_of_GDP_t-2,Gross_domestic_savings_percent_of_GDP_t-2,FDI_net_inflows_percent_of_GDP_t-2,GDP_per_capita_constant_2015_US_t-1,Trade_percent_of_GDP_t-1,Unemployment_total_percent_of_labor_force_t-1,Agriculture_value_added_percent_of_GDP_t-1,Industry_value_added_percent_of_GDP_t-1,Urban_population_percent_t-1,Inflation_consumer_prices_annual_percent_t-1,Gross_fixed_capital_formation_percent_of_GDP_t-1,Access_to_electricity_percent_of_population_t-1,Internet_users_percent_of_population_t-1,Services_value_added_percent_of_GDP_t-1,Gross_domestic_savings_percent_of_GDP_t-1,FDI_net_inflows_percent_of_GDP_t-1,GDP_per_capita_constant_2015_US_t0,Trade_percent_of_GDP_t0,Unemployment_total_percent_of_labor_force_t0,Agriculture_value_added_percent_of_GDP_t0,Industry_value_added_percent_of_GDP_t0,Urban_population_percent_t0,Inflation_consumer_prices_annual_percent_t0,Gross_fixed_capital_formation_percent_of_GDP_t0,Access_to_electricity_percent_of_population_t0,Internet_users_percent_of_population_t0,Services_value_added_percent_of_GDP_t0,Gross_domestic_savings_percent_of_GDP_t0,FDI_net_inflows_percent_of_GDP_t0
HT,Haiti,1980,1982,1980,0,-2,2,38.90222695020379,,,,,20.5611156660091,44.87455465677174,,,,,,0.939442116100593,38.13094355361788,,,,,20.5879888547781,41.32740648450215,,,,,,0.563742057703664,37.23979221884324,,,,,20.6254834497434,38.62915988413609,,,,,,0.480260480356532
HT,Haiti,1982,1984,1980,0,-3,2,37.23979221884324,,,,,20.6254834497434,38.62915988413609,,,,,,0.480260480356532,37.071814466225625,,,,,20.7173240342271,40.91667606512527,,,,,,0.51860064065558,36.80541629852571,,,,,20.9263676988077,37.69070693258573,,,,,,0.245567668779411
HT,Haiti,1984,1986,1980,0,-3,2,36.80541629852571,,,,,20.9263676988077,37.69070693258573,,,,,,0.245567668779411,36.58424947019788,,,,,21.2507708625418,41.18986135195636,,,,,,0.244849208719021,36.18399610173182,,,,,21.6859466012783,33.46335154630917,,,,,,0.207937877480587
HT,Haiti,1986,1988,1980,-3,-1,1,36.18399610173182,,,,,21.6859466012783,33.46335154630917,,,,,,0.207937877480587,35.73306159302916,,,,,22.2273079908661,2.784716820263128,,,,,,0.228604923798359,35.438264580229706,48.7783590573386,,31.1106493112202,22.0816053456432,22.8702681071541,34.824395082388385,,,,42.6187527516073,1.48661393272375,0.386391845402863
HT,Haiti,1988,1990,1980,-2,-2,1,35.438264580229706,48.7783590573386,,31.1106493112202,22.0816053456432,22.8702681071541,34.824395082388385,,,,42.6187527516073,1.48661393272375,0.386391845402863,34.636464902230735,40.5631325688157,,30.5929975976556,22.7193132424823,23.6102400259911,38.216442423065054,,,,39.9520759078559,4.29756295838843,0.342074781494251,34.47223580359005,46.4148543201609,,29.7367513854808,23.0856556127272,24.4426368232261,46.19263782764765,,,0.0,43.5350334455128,-2.67442666380905,0.258373747832002
HT,Haiti,1990,1992,1990,-3,2,1,34.47223580359005,46.4148543201609,,29.7367513854808,23.0856556127272,24.4426368232261,46.19263782764765,,,0.0,43.5350334455128,-2.67442666380905,0.258373747832002,34.444520986993666,39.8074901808928,7.329,29.8987995795763,25.9877413287603,25.3628715747079,43.83891298704141,,,,40.1904464236322,5.18338219837362,-0.0518199955744869,33.252113228959864,32.5376884422111,7.387,34.1206078469269,22.937422690375,26.3663573562854,45.49803371382091,,,,40.9496955933514,4.72555083107847,-0.0974689186316196
HT,Haiti,1992,1994,1990,-3,2,1,33.252113228959864,32.5376884422111,7.387,34.1206078469269,22.937422690375,26.3663573562854,45.49803371382091,,,,40.9496955933514,4.72555083107847,-0.0974689186316196,32.04521539813066,48.7522666436404,7.534,30.8470425697263,24.0591745099732,27.4485072438076,48.669282091580506,,,,42.9630860892842,-13.2242466108281,-0.149074637768759,29.700833548571996,31.1336399762195,7.858,33.9282580806658,22.2277824712913,28.6047343131232,50.77346242621347,,,,42.9931975343409,-8.09161738477424,-0.129176969241841
HT,Haiti,1994,1996,1990,-3,2,1,29.700833548571996,31.1336399762195,7.858,33.9282580806658,22.2277824712913,28.6047343131232,50.77346242621347,,,,42.9931975343409,-8.09161738477424,-0.129176969241841,30.905824786746965,37.8478190633142,7.51,23.5553973604835,30.3946345321046,29.8304516400811,48.12321508361007,,31.3,,42.8408634370401,6.5086438992618,0.2630350503705,31.251067699655422,40.223379852938,7.304,19.4953609020945,34.9206144017836,31.1210723005304,45.94896196196226,,30.0130176544189,0.00748,41.0790640341287,10.5644521619825,0.141013763586083
HT,Haiti,1996,1998,1990,0,-2,3,31.251067699655422,40.223379852938,7.304,19.4953609020945,34.9206144017836,31.1210723005304,45.94896196196226,,30.0130176544189,0.00748,41.0790640341287,10.5644521619825,0.141013763586083,31.37630547570922,36.8940488093915,7.003,20.8146613339259,32.017668407214,32.4720093703197,45.94016577961712,,30.5570373535156,,42.1452857089953,8.54164352109025,0.11979817057364,31.423265281140303,36.5207867041288,7.165,21.1624728161658,34.85368827087,33.8786759252981,36.40871460186964,,31.0969753265381,0.024,41.3566725399622,9.28456910646539,0.288944097337968
HT,Haiti,1998,2000,1990,-2,0,3,31.423265281140303,36.5207867041288,7.165,21.1624728161658,34.85368827087,33.8786759252981,36.40871460186964,,31.0969753265381,0.024,41.3566725399622,9.28456910646539,0.288944097337968,31.55563750881371,41.9484795102088,7.2,22.5610708406735,33.1478152886476,35.3364850413145,32.94985458612817,,31.6320724487305,0.0707,40.7068458139602,10.2477835215294,0.722243133970601,31.39893146537108,27.1535220636918,8.443,17.185516717203,23.048486874758,36.8408497942176,40.26507310869757,8.32239600531104,33.7,0.231271,57.1720477816392,-4.11591318278419,0.194464980712557
HT,Haiti,2000,2002,2000,-4,1,2,31.39893146537108,27.1535220636918,8.443,17.185516717203,23.048486874758,36.8408497942176,40.26507310869757,8.32239600531104,33.7,0.231271,57.1720477816392,-4.11591318278419,0.194464980712557,31.05233160118222,27.569933019116,9.728,16.4505786071297,23.5984895487098,38.3871832598564,42.78121345522021,8.04811181920893,31.5,0.340832,57.3887809301393,-5.47027100320031,0.0694886389960982,30.935216660888624,24.9396784759828,11.008,15.8465044649721,23.2116928683578,39.9708985140797,38.32183898712236,9.49595832222187,33.1,0.893433,58.228541956372,-2.87480164926927,0.0918488613041635
HT,Haiti,2002,2004,2000,-4,1,2,30.935216660888624,24.9396784759828,11.008,15.8465044649721,23.2116928683578,39.9708985140797,38.32183898712236,9.49595832222187,33.1,0.893433,58.228541956372,-2.87480164926927,0.0918488613041635,31.20207008846156,37.1973434444641,12.151,16.720141598204,25.3098723727845,41.2007603284477,48.41212817911229,16.6792585587853,31.6,1.64736,55.0962673972599,-1.97321380324574,0.272084819262136,30.717577330388973,33.7809703531059,13.415,15.8505214181337,25.6128699974092,41.8705746346912,46.1075773775006,11.4076572923675,34.1,5.40126,55.4310971170289,-5.6234945573029,0.0969221359795515
HT,Haiti,2004,2006,2000,-5,1,1,30.717577330388973,33.7809703531059,13.415,15.8505214181337,25.6128699974092,41.8705746346912,46.1075773775006,11.4076572923675,34.1,5.40126,55.4310971170289,-5.6234945573029,0.0969221359795515,30.932808592425754,34.9651045038228,14.559,18.053012942039,25.0367007859813,42.5791771857318,43.12708304926164,9.81592773095545,34.5,6.3762,54.296439294312,-7.93455825262636,0.369835650694654,30.941454654743637,37.0570704128996,15.866,17.716303487923,26.494693007675,43.2846444920296,41.63790893921849,14.3527712251236,33.9,6.796,52.6501128741064,-4.66166411049837,2.10244121995639
HT,Haiti,2006,2008,2000,-5,1,1,30.941454654743637,37.0570704128996,15.866,17.716303487923,26.494693007675,43.2846444920296,41.63790893921849,14.3527712251236,33.9,6.796,52.6501128741064,-4.66166411049837,2.10244121995639,31.40746159001778,34.2825489611293,16.8,19.0751062719029,25.2963112825586,43.9866171992907,37.8508270871168,9.22466753259594,35.5,7.2,52.1017042943899,-8.17064764881733,0.807269738778004,31.560598098373088,36.1450381454244,16.204,18.4326161641106,26.701201891474,44.6847359532184,43.773721416468,12.6171620718569,36.1,7.6,51.1602844261798,-5.94515862591732,0.285633151798952
HT,Haiti,2008,2010,2000,-5,1,1,31.560598098373088,36.1450381454244,16.204,18.4326161641106,26.701201891474,44.6847359532184,43.773721416468,12.6171620718569,36.1,7.6,51.1602844261798,-5.94515862591732,0.285633151798952,32.211870958377474,33.0964998246108,15.398,18.7934646435559,26.2255411512356,45.3786413995138,24.806441316929885,12.6069242243299,36.6,8.1,51.6516283735763,-2.65729936829466,0.478313239983432,31.0945166587532,44.7215241260457,15.244,20.2326950876929,23.5332687261618,46.0679741838751,35.84492021622528,24.988217664925,37.2,8.37,52.5004487393192,-2.59256168758107,1.50093014768549
HT,Haiti,2010,2012,2010,-5,1,1,31.0945166587532,44.7215241260457,15.244,20.2326950876929,23.5332687261618,46.0679741838751,35.84492021622528,24.988217664925,37.2,8.37,52.5004487393192,-2.59256168758107,1.50093014768549,31.70892161915779,44.1635704019387,14.506,20.0431188990154,24.5925802703743,46.7523749519985,37.61818627635601,20.9967494829716,37.8,9.0,51.2340187151589,-3.00059256587683,0.91476918408797,31.541144235433794,40.2582414988129,14.1,19.4699035948555,25.3732825170097,47.4314843495779,36.09340521390861,17.5092344164627,37.9,9.8,51.0111681886198,-3.43890748872861,1.13794476642421
HT,Haiti,2012,2014,2010,-5,1,1,31.541144235433794,40.2582414988129,14.1,19.4699035948555,25.3732825170097,47.4314843495779,36.09340521390861,17.5092344164627,37.9,9.8,51.0111681886198,-3.43890748872861,1.13794476642421,31.977881979393125,40.3325097562551,13.704,19.3274999569264,25.6899193261312,48.1049430223048,35.76195301268324,17.880859322137,38.9,10.6,51.0790194647682,-1.79254995361714,1.0865204500402,32.19909135891402,42.3515259071619,13.808,17.8297636475726,26.5606297593527,48.7723916158687,33.74351032798152,16.556866327765,39.6,11.4,51.8125576630482,-3.84501792196872,0.653599798370867
HT,Haiti,2014,2016,2010,-5,1,1,32.19909135891402,42.3515259071619,13.808,17.8297636475726,26.5606297593527,48.7723916158687,33.74351032798152,16.556866327765,39.6,11.4,51.8125576630482,-3.84501792196872,0.653599798370867,32.19182017272521,41.9457381172044,13.785,17.2198989989619,26.0556909416746,49.4334707759572,38.02709620369254,13.9737286463314,40.8,14.2,52.4407421977879,-4.32556695591161,0.711667596569424,32.255431120276086,41.4109022161974,13.902,17.9835139851461,24.4486778891376,50.087821148256,41.73585438496471,13.5922278864188,40.4,22.8,53.1971109122167,-4.46164879617934,0.745596209929376
HT,Haiti,2016,2018,2010,-5,1,1,32.255431120276086,41.4109022161974,13.902,17.9835139851461,24.4486778891376,50.087821148256,41.73585438496471,13.5922278864188,40.4,22.8,53.1971109122167,-4.46164879617934,0.745596209929376,32.434239760984255,42.0745477868911,13.932,18.8264709950195,23.7054083866046,50.735083378449,41.21053482048848,16.876979845919,43.3,27.2,53.5223517763075,-3.00893982566482,2.48360915333592,32.48641749369265,45.1385763027223,13.934,18.7060141160075,24.1385210331551,51.374898112219,42.31731249897198,16.0510920039064,44.4,32.4736,53.4912479714213,-7.25560412742734,0.640093066153268
HT,Haiti,2018,2020,2010,-5,1,1,32.48641749369265,45.1385763027223,13.934,18.7060141160075,24.1385210331551,51.374898112219,42.31731249897198,16.0510920039064,44.4,32.4736,53.4912479714213,-7.25560412742734,0.640093066153268,32.001293728569976,44.5687187758294,14.095,19.1874037315046,23.3823262210182,52.0069059952475,45.24579295571053,18.5362500202298,45.4,39.262,54.3640695246585,-3.79537243689056,0.499464210439719,31.26497793258348,37.4138801252638,15.573,20.362493732044,23.327525652015,52.6307476732151,46.7020891176707,17.70308377994,46.3,,53.9204199080319,-4.40878395611421,0.17231607778598
HT,Haiti,2020,2022,2020,-5,1,1,31.26497793258348,37.4138801252638,15.573,20.362493732044,23.327525652015,52.6307476732151,46.7020891176707,17.70308377994,46.3,,53.9204199080319,-4.40878395611421,0.17231607778598,30.78972567332662,37.0465594645645,15.296,20.684893342416,25.5323969166346,53.2460637918026,44.47966251336721,18.0480582579069,47.2,,51.7413950007284,-4.76906234401725,0.244929572826407,30.33790445415285,36.529550283828,14.54,20.2753493141772,29.3411380317267,53.8524949966907,49.67578515224094,15.8621394204196,49.3,,48.167465368414,-6.18989063166957,0.194598953085393
